54 96 78
8 82 72
6 59 23
97 30 37
67 49 19
79 53 3
29 87 78
25 74 92
30 51 92
93 44 77
10 30 49
89 1 41
84 56 88
98 90 62
91 24 37
52 39 18
20 15 84
3 61 30
79 82 61
69 2 46
78 5 51
74 47 6
88 8 83
3 9 57
27 57 48
52 50 33
8 92 76
79 99 77
94 64 75
76 19 7
90 61 26
86 85 34
48 56 92
48 19 42
84 10 91
82 24 2
42 38 39
65 31 76
53 92 58
71 79 7
1 84 64
3 88 90
94 36 19
63 37 98
12 65 7
15 35 2
67 94 59
49 66 87
44 52 9
32 2 58
56 4 66
1 72 54
47 83 86
14 54 8
94 73 11
2 25 74
44 20 92
56 77 20
40 49 70
38 84 78
34 90 93
86 13 2
66 3 64
78 91 48
8 42 18
1 84 78
41 69 84
19 38 23
6 38 18
51 10 31
91 87 86
69 72 55
7 38 88
53 22 84
76 88 13
87 54 76
98 39 49
74 3 26
9 52 60
33 21 81
70 17 89
18 62 64
36 21 13
17 14 28
40 61 65
94 72 49
32 24 79
37 69 91
89 28 82
97 80 83
4 26 82
28 69 18
5 24 83
6 43 42
72 26 99
90 36 15
55 5 83
60 95 57
99 10 57
77 24 62
27 77 88
28 66 89
71 86 91
51 77 59
16 87 29
91 3 22
24 59 36
77 42 39
38 25 59
18 49 54
58 6 96
31 7 54
3 82 29
7 58 42
43 60 1
63 98 74
87 90 24
57 81 66
43 95 2
5 44 69
12 72 92
76 42 85
51 26 64
58 33 2
6 88 40
51 23 98
90 27 57
68 52 31
53 46 11
76 66 28
29 87 52
9 64 34
60 46 64
89 42 33
31 57 64
39 3 40
64 63 30
13 78 88
23 48 4
86 69 68
50 67 45
12 6 30
85 48 53
30 62 6
38 21 63
55 18 81
86 68 77
14 54 88
49 99 70
12 63 8
66 52 20
21 41 16
27 51 77
95 13 5
83 37 26
5 46 39
65 39 40
95 84 40
40 35 52
91 45 41
15 39 73
50 15 61
28 18 87
28 70 63
47 96 77
53 93 57
86 3 72
32 27 69
87 12 22
